IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP461;IC_GROUP0;IC_GROUP1;IC_GROUP2
22410;Гентамицин 100, 10 шт. по 5 г.;22410;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Гентамицин 100 порошок назначают свиньям при колибактериозе,сальмонеллезе, кампилобактериозе и дизентерии, в том числе вызываемых Enterobacter aerogenes, Pseudomonas aeruginosa, Proteus mirabilis,сельскохозяйственным птицам при колибактериозе и других желудочно- кишечных заболеваниях бактериальной этиологии, обусловленных микроорганизмами, чувствительными к гентамицину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Гентамицин 100 порошок применяют перорально индивидуально или групповым способом в следующих суточных дозах:<br>
 <br>
 Цыплятам-бройлерам, ремонтному молодняку и индюшатам – 5 г препарата на 100 л воды для поения в течение 5-7 дней;<br>
 <br>
 Свиньям с кормом или водой для поения:<br>
 <br>
 • при колибактериозе – 1 г препарата на 10 кг массы животного (эквивалентно 10 мг гентамицина сульфата на 1кг массы) или 10 г на 100 л воды в течение 3-4 дней;<br>
 <br>
 • при сальмонеллезе, в том числе инфекции, вызываемой Enterobacter aerogenes, Pseudomonas aeruginosa, Proteus mirabilis –1,5 г препарата на 10 кг массы животного (эквивалентно 15 мг гентамицина сульфата на 1 кг массы) или 15 г препарата на 100 л воды в течение 4-5 дней;<br>
 <br>
 • при кампилобактериозе и дизентерии – 2,2 г препарата на 10 кг массы животного (эквивалентно 22 мг гентамицина сульфата на 1 кг массы) или 22 г препарата на 100 л воды в течение 5 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Выпускают препарат расфасованным по 0,5; 1,0 кг в многослойные пакеты из комбинированных материалов; по 1 кг в полимерные ведра, в пакеты-саше по 5 г, упакованные по 10 штук в картонную пачку.<br>";html;gentamitsin-100-10-sht-po-5-g;500;;АВЗ;Антибактериальные препараты;;
22411;Гентамицин 100, 1 кг.;22411;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Гентамицин 100 порошок назначают свиньям при колибактериозе,сальмонеллезе, кампилобактериозе и дизентерии, в том числе вызываемых Enterobacter aerogenes, Pseudomonas aeruginosa, Proteus mirabilis,сельскохозяйственным птицам при колибактериозе и других желудочно- кишечных заболеваниях бактериальной этиологии, обусловленных микроорганизмами, чувствительными к гентамицину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Гентамицин 100 порошок применяют перорально индивидуально или групповым способом в следующих суточных дозах:<br>
 <br>
 Цыплятам-бройлерам, ремонтному молодняку и индюшатам – 5 г препарата на 100 л воды для поения в течение 5-7 дней;<br>
 <br>
 Свиньям с кормом или водой для поения:<br>
 <br>
 • при колибактериозе – 1 г препарата на 10 кг массы животного (эквивалентно 10 мг гентамицина сульфата на 1кг массы) или 10 г на 100 л воды в течение 3-4 дней;<br>
 <br>
 • при сальмонеллезе, в том числе инфекции, вызываемой Enterobacter aerogenes, Pseudomonas aeruginosa, Proteus mirabilis –1,5 г препарата на 10 кг массы животного (эквивалентно 15 мг гентамицина сульфата на 1 кг массы) или 15 г препарата на 100 л воды в течение 4-5 дней;<br>
 <br>
 • при кампилобактериозе и дизентерии – 2,2 г препарата на 10 кг массы животного (эквивалентно 22 мг гентамицина сульфата на 1 кг массы) или 22 г препарата на 100 л воды в течение 5 дней.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
Выпускают препарат расфасованным по 0,5; 1,0 кг в многослойные пакеты из комбинированных материалов; по 1 кг в полимерные ведра, в пакеты-саше по 5 г, упакованные по 10 штук в картонную пачку.";html;gentamitsin-100-1-kg;500;;АВЗ;Антибактериальные препараты;;
22412;Гентафлокс оральный, 5 л.;22412;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Гентафлокс оральный применяют с лечебной и лечебно-профилактической целью свиньям и сельскохозяйственной птице при колибактериозе, пастереллезе, сальмонеллезе, дизентерии, некротическом энтерите, стрептококкозе, микоплазмозе, инфекционном рините и других инфекциях, возбудители которых чувствительны к энрофлоксацину и гентамицину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Гентафлокс оральный применяют индивидуально или групповым способом с водой для поения течение 3-5 дней в суточной дозе:<br>
 <br>
 • свиньям 5 мл на 100 кг массы тела, при лечении дизентерии дозу препарата увеличивают до 10 мл на 100 кг массы тела;<br>
 • птицам 0,5-1,0 мл/л воды для поения.<br>
 <br>
 Во время лечения животные должны получать только воду, содержащую лекарственный препарат. Лечебный раствор препарата готовят ежедневно в объеме, рассчитанном на потребление в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Выпускают лекарственный препарат расфасованным пo 50 мл в полимерные флаконы, 1 л в полимерные бутылки и канистры по 5 л.<br>";html;gentafloks-oralnyy-5-l;500;;АВЗ;Антибактериальные препараты;;
22413;Гентафлокс оральный, 1 л.;22413;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Гентафлокс оральный применяют с лечебной и лечебно-профилактической целью свиньям и сельскохозяйственной птице при колибактериозе, пастереллезе, сальмонеллезе, дизентерии, некротическом энтерите, стрептококкозе, микоплазмозе, инфекционном рините и других инфекциях, возбудители которых чувствительны к энрофлоксацину и гентамицину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Гентафлокс оральный применяют индивидуально или групповым способом с водой для поения течение 3-5 дней в суточной дозе:<br>
 <br>
 • свиньям 5 мл на 100 кг массы тела, при лечении дизентерии дозу препарата увеличивают до 10 мл на 100 кг массы тела;<br>
 • птицам 0,5-1,0 мл/л воды для поения.<br>
 <br>
 Во время лечения животные должны получать только воду, содержащую лекарственный препарат. Лечебный раствор препарата готовят ежедневно в объеме, рассчитанном на потребление в течение суток.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Выпускают лекарственный препарат расфасованным пo 50 мл в полимерные флаконы, 1 л в полимерные бутылки и канистры по 5 л.<br>";html;gentafloks-oralnyy-1-l;500;;АВЗ;Антибактериальные препараты;;
22414;Доксиор 10%, 1 л.;22414;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Доксиор 10% назначают свиньям и сельскохозяйственным птицам с лечебной и лечебно-профилактической целью при колибактериозе, пастереллезе, сальмонеллезе, стафилококкозе, хронических респираторных заболеваниях, микоплазмозе и других инфекциях, возбудители которых чувствительны к доксициклину.&nbsp;<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Доксиор 10% применяют перорально индивидуально или групповым способом с водой для поения в следующих дозах:<br>
 <br>
 • свиньям - 1 мл на 10 кг массы животного (эквивалентно 10 мг доксициклина на 1 кг массы животного) один раз в сутки в течение 5 дней;<br>
 • птицам - 0,5 – 1,0 мл на 1 литр питьевой воды (эквивалентно 50 - 100 мг доксициклина на 1 л воды) в течение 3-5 дней.<br>
 <br>
 В период лечения свиньи и птицы должны получать только воду, содержащую лекарственный препарат. Лечебный раствор готовят ежедневно из расчета суточной потребности животных в воде.<br>
 <br>
 <b>Форма выпуска</b>:<br>
 <br>
 Полимерные бутылки по 1 л.<br>";html;doksior-10-1-l;500;;АВЗ;Антибактериальные препараты;;
22415;Доксиор 10%, 5 л.;22415;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Доксиор 10% назначают свиньям и сельскохозяйственным птицам с лечебной и лечебно-профилактической целью при колибактериозе, пастереллезе, сальмонеллезе, стафилококкозе, хронических респираторных заболеваниях, микоплазмозе и других инфекциях, возбудители которых чувствительны к доксициклину.&nbsp;<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Доксиор 10% применяют перорально индивидуально или групповым способом с водой для поения в следующих дозах:<br>
 <br>
 • свиньям - 1 мл на 10 кг массы животного (эквивалентно 10 мг доксициклина на 1 кг массы животного) один раз в сутки в течение 5 дней;<br>
 • птицам – 0,5 – 1,0 мл на 1 литр питьевой воды (эквивалентно 50 - 100 мг доксициклина на 1 л воды) в течение 3-5 дней.<br>
 <br>
 В период лечения свиньи и птицы должны получать только воду, содержащую лекарственный препарат. Лечебный раствор готовят ежедневно из расчета суточной потребности животных в воде.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерные бутылки по 1 л.<br>";html;doksior-10-5-l;500;;АВЗ;Антибактериальные препараты;;
22416;Доксиор 10%, 100 мл.;22416;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Доксиор 10% назначают свиньям и сельскохозяйственным птицам с лечебной и лечебно-профилактической целью при колибактериозе, пастереллезе, сальмонеллезе, стафилококкозе, хронических респираторных заболеваниях, микоплазмозе и других инфекциях, возбудители которых чувствительны к доксициклину.&nbsp;<br>
 <br>
 <b>Дозы и порядок применения:</b><br>
 <br>
 Доксиор 10% применяют перорально индивидуально или групповым способом с водой для поения в следующих дозах:<br>
 <br>
 • свиньям - 1 мл на 10 кг массы животного (эквивалентно 10 мг доксициклина на 1 кг массы животного) один раз в сутки в течение 5 дней;<br>
 • птицам – 0,5 – 1,0 мл на 1 литр питьевой воды (эквивалентно 50 - 100 мг доксициклина на 1 л воды) в течение 3-5 дней.<br>
 <br>
 В период лечения свиньи и птицы должны получать только воду, содержащую лекарственный препарат. Лечебный раствор готовят ежедневно из расчета суточной потребности животных в воде.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерные бутылки по 1 л.<br>";html;doksior-10-100-ml;500;;АВЗ;Антибактериальные препараты;;
22417;Доксициклин-комплекс, 100 мл.;22417;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям и сельскохозяйственной птице при респираторных и желудочно- кишечных заболеваниях бактериальной этиологии, в т. ч. сальмонеллезе, дизентерии, энзоотической пневмонии, пастереллезе, микоплазмозе, колибактериозе и других инфекциях, возбудители которых чувствительны к доксициклину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Применяют перорально с водой для поения в суточной дозе 0,5 мл на 1 л питьевой воды в течение 3–5 дней. В период лечения свиньи и птица должны получать только воду, содержащую лекарственный препарат. В случае, если это невозможно, суточную дозу препарата делят на 2 равные части и выпаивают с интервалом 12 часов.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерный флакон 100 мл, полимерная бутылка 1 л.<br>";html;doksitsiklin-kompleks-100-ml;500;;АВЗ;Антибактериальные препараты;;
22418;Доксициклин-комплекс, 1 л.;22418;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям и сельскохозяйственной птице при респираторных и желудочно- кишечных заболеваниях бактериальной этиологии, в т. ч. сальмонеллезе, дизентерии, энзоотической пневмонии, пастереллезе, микоплазмозе, колибактериозе и других инфекциях, возбудители которых чувствительны к доксициклину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Применяют перорально с водой для поения в суточной дозе 0,5 мл на 1 л питьевой воды в течение 3–5 дней. В период лечения свиньи и птица должны получать только воду, содержащую лекарственный препарат. В случае, если это невозможно, суточную дозу препарата делят на 2 равные части и выпаивают с интервалом 12 часов.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерный флакон 100 мл, полимерная бутылка 1 л.<br>";html;doksitsiklin-kompleks-1-l;500;;АВЗ;Антибактериальные препараты;;
22419;Доксициклин-комплекс, 5 л.;22419;Y;;;;;text;;"<b>Показания к применению:</b><br>
 <br>
 Свиньям и сельскохозяйственной птице при респираторных и желудочно- кишечных заболеваниях бактериальной этиологии, в т. ч. сальмонеллезе, дизентерии, энзоотической пневмонии, пастереллезе, микоплазмозе, колибактериозе и других инфекциях, возбудители которых чувствительны к доксициклину.<br>
 <br>
 <b>Порядок применения:</b><br>
 <br>
 Применяют перорально с водой для поения в суточной дозе 0,5 мл на 1 л питьевой воды в течение 3–5 дней. В период лечения свиньи и птица должны получать только воду, содержащую лекарственный препарат. В случае, если это невозможно, суточную дозу препарата делят на 2 равные части и выпаивают с интервалом 12 часов.<br>
 <br>
 <b>Форма выпуска:</b><br>
 <br>
 Полимерный флакон 100 мл, полимерная бутылка 1 л.<br>";html;doksitsiklin-kompleks-5-l;500;;АВЗ;Антибактериальные препараты;;
